Date,NDX_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
1999/4/20,2030.28,3.19,4.7378,0.018801,6.38,9.57,6.3574,9.5289,1821.011771,16302.00355,69803.53125,6741.056772,13705.19189
1999/4/21,2105.82,3.72,4.7374,0.018799,7.44,11.16,7.4174,11.1189,1888.753409,17514.87262,77593.60534,7241.069996,15229.05975
1999/4/22,2183.49,3.69,4.737,0.018798,7.38,11.07,7.3574,11.0289,1958.44841,18807.47022,86183.21745,7773.826825,16908.6594
1999/4/23,2210.44,1.23,4.7367,0.018796,2.46,3.69,2.4374,3.6489,1982.537325,19270.13398,89363.37817,7963.308715,17525.64208
1999/4/26,2260.66,2.27,4.7355,0.018792,4.54,6.81,4.5174,6.7689,2027.540923,20144.99807,95449.02423,8323.046286,18711.93957
1999/4/27,2207.03,-2.37,4.7351,0.01879,-4.74,-7.11,-4.7626,-7.1511,1979.488203,19190.12516,88662.5986,7926.656212,17373.83522
1999/4/28,2150.44,-2.56,4.7347,0.018789,-5.12,-7.68,-5.1426,-7.7211,1928.813305,18207.59075,81853.31103,7519.02328,16032.38935
1999/4/29,2119.29,-1.45,4.7344,0.018787,-2.9,-4.35,-2.9226,-4.3911,1900.845512,17679.57062,78292.692,7299.275541,15328.3965
1999/4/30,2136.39,0.81,4.734,0.018786,1.62,2.43,1.5974,2.3889,1916.242361,17965.97966,80195.20442,7415.87742,15694.5822
1999/5/3,2137.95,0.07,4.7328,0.018781,0.14,0.21,0.1174,0.1689,1917.58373,17991.13203,80363.61435,7424.587303,15721.09754
1999/5/4,2097.55,-1.89,4.7324,0.01878,-3.78,-5.67,-3.8025,-5.7111,1881.341398,17311.06724,75806.99741,7142.263706,14823.25763
1999/5/5,2155.77,2.78,4.7321,0.018778,5.56,8.34,5.5375,8.299,1933.642689,18273.56258,82129.301,7537.763142,16053.43266
1999/5/6,2078.63,-3.58,4.7317,0.018776,-7.16,-10.74,-7.1825,-10.781,1864.41828,16965.1755,73308.61407,6996.359814,14322.70486
1999/5/7,2117.73,1.88,4.7313,0.018775,3.76,5.64,3.7375,5.599,1899.469344,17603.0661,77443.2199,7257.845628,15124.62709
1999/5/10,2134.75,0.8,4.7301,0.01877,1.6,2.4,1.5775,2.359,1914.665099,17884.71516,79301.85718,7372.335223,15481.41208
1999/5/11,2175.85,1.93,4.7298,0.018769,3.86,5.79,3.8375,5.749,1951.618135,18575.06516,83893.43471,7655.245734,16371.43385
1999/5/12,2217.68,1.92,4.7294,0.018767,3.84,5.76,3.8175,5.719,1989.089203,19288.34766,88725.69655,7947.481893,17307.71177
1999/5/13,2179.08,-1.74,4.729,0.018766,-3.48,-5.22,-3.5025,-5.261,1954.479051,18617.11317,84094.21519,7669.118506,16397.14895
1999/5/14,2125.15,-2.47,4.7286,0.018764,-4.94,-7.41,-4.9625,-7.451,1906.203419,17697.42778,77862.83385,7288.535882,15175.394
1999/5/17,2175.74,2.38,4.7275,0.01876,4.76,7.14,4.7375,7.099,1951.57106,18539.82534,83422.24018,7633.828114,16252.69347
1999/5/18,2159.26,-0.76,4.7271,0.018758,-1.52,-2.28,-1.5425,-2.321,1936.73912,18258.01999,81520.21311,7516.074174,15875.46707
1999/5/19,2186.2,1.25,4.7267,0.018757,2.5,3.75,2.4775,3.709,1960.948359,18714.47049,84577.2211,7702.282918,16464.28728
1999/5/20,2139.95,-2.12,4.7263,0.018755,-4.24,-6.36,-4.2625,-6.401,1919.376254,17920.97694,79198.10984,7373.971183,15410.40786
1999/5/21,2114.4,-1.19,4.7259,0.018754,-2.38,-3.57,-2.4025,-3.611,1896.535676,17494.45769,76370.73731,7196.809793,14853.93813
1999/5/24,2060.59,-2.54,4.7248,0.018749,-5.08,-7.62,-5.1025,-7.661,1848.36367,16605.73924,70551.28713,6829.591212,13715.97939
1999/5/25,1999.04,-2.99,4.7244,0.018748,-5.98,-8.97,-6.0025,-9.011,1793.097596,15612.71603,64222.83668,6419.643812,12480.03424
1999/5/26,2053.04,2.7,4.724,0.018746,5.4,8.1,5.3775,8.059,1841.511232,16455.8027,69424.88645,6764.859139,13485.80219
1999/5/27,2050.09,-0.14,4.7236,0.018745,-0.28,-0.42,-0.3025,-0.461,1838.933116,16409.72645,69133.30192,6744.394469,13423.63519
1999/5/28,2089.7,1.93,4.7232,0.018743,3.86,5.79,3.8375,5.749,1874.424525,17043.14189,73136.1201,7003.209741,14195.36292
1999/6/1,2025.79,-3.06,4.7217,0.018737,-6.12,-9.18,-6.1425,-9.221,1817.067134,16000.10161,66422.22428,6573.037111,12886.41335
1999/6/2,2074.54,2.41,4.7213,0.018735,4.82,7.23,4.7975,7.189,1860.858452,16771.30651,71224.55109,6888.378223,13812.8224
1999/6/3,2030.4,-2.13,4.7209,0.018734,-4.26,-6.39,-4.2825,-6.431,1821.222167,16056.84885,66673.30228,6593.383171,12924.52535
1999/6/4,2109.41,3.89,4.7205,0.018732,7.78,11.67,7.7575,11.629,1892.06771,17306.07169,74454.07666,7104.864727,14427.52399
1999/6/7,2152.69,2.05,4.7194,0.018728,4.1,6.15,4.0775,6.1091,1930.855098,18015.62063,79033.00237,7394.565757,15308.909
1999/6/8,2086.75,-3.06,4.719,0.018726,-6.12,-9.18,-6.1425,-9.2209,1871.770932,16913.06465,71777.77275,6940.354844,13897.28299
1999/6/9,2135.48,2.34,4.7186,0.018725,4.68,7.02,4.6575,6.9791,1915.570372,17704.59607,76816.5724,7263.602249,14867.18249
1999/6/10,2097.79,-1.76,4.7182,0.018723,-3.52,-5.28,-3.5425,-5.3209,1881.856333,17081.39429,72760.65738,7006.289644,14076.10886
1999/6/11,2062.29,-1.69,4.7179,0.018722,-3.38,-5.07,-3.4025,-5.1109,1850.052961,16504.04316,69071.69205,6767.901233,13356.68803
1999/6/14,2028.92,-1.62,4.7167,0.018717,-3.24,-4.86,-3.2625,-4.9009,1820.082103,15969.31217,65714.80781,6547.099339,12702.08659
1999/6/15,2058.17,1.44,4.7163,0.018716,2.88,4.32,2.8575,4.2791,1846.291285,16429.22836,68553.68751,6734.183656,13245.61863
1999/6/16,2167.49,5.31,4.7159,0.018714,10.62,15.93,10.5975,15.8891,1944.329353,18174.01241,79474.28993,7447.839852,15350.22554
1999/6/17,2190.83,1.08,4.7156,0.018713,2.16,3.24,2.1375,3.1991,1965.32811,18566.57108,82049.25693,7607.038741,15841.29197
1999/6/18,2205.46,0.67,4.7152,0.018711,1.34,2.01,1.3175,1.9691,1978.495808,18815.36313,83698.44699,7707.262932,16153.22062
1999/6/21,2268.66,2.87,4.714,0.018706,5.74,8.61,5.7175,8.5691,2035.278638,19895.36497,90904.88328,8147.927517,17537.40544
1999/6/22,2209.89,-2.59,4.7136,0.018705,-5.18,-7.77,-5.2025,-7.8109,1982.564921,18864.78507,83841.57385,7724.033643,16167.5759
1999/6/23,2239.33,1.33,4.7133,0.018703,2.66,3.99,2.6375,3.9491,2008.933034,19366.58835,87186.85264,7927.757096,16806.04982
1999/6/24,2184.87,-2.43,4.7129,0.018702,-4.86,-7.29,-4.8825,-7.3309,1960.115962,18425.37216,80830.93108,7540.686597,15574.01581
1999/6/25,2185.76,0.04,4.7125,0.0187,0.08,0.12,0.0575,0.0791,1960.900008,18440.11245,80927.9282,7545.024738,15586.33598
1999/6/28,2243.94,2.66,4.7113,0.018696,5.32,7.98,5.2975,7.9391,2013.059948,19421.12644,87385.97687,7944.725016,16823.75332
1999/6/29,2280.06,1.61,4.711,0.018694,3.22,4.83,3.1975,4.7891,2045.470213,20046.48671,91606.71956,8198.760448,17629.46295
1999/6/30,2296.77,0.73,4.7106,0.018693,1.46,2.19,1.4375,2.1491,2060.402146,20339.16541,93612.90671,8316.620696,18008.34169
1999/7/1,2322.32,1.11,4.7102,0.018691,2.22,3.33,2.1975,3.2891,2083.27261,20790.69488,96730.21651,8499.381673,18600.65865
1999/7/2,2347.88,1.1,4.7098,0.01869,2.2,3.3,2.1775,3.2591,2106.188608,21248.09017,99922.31365,8684.459146,19206.87802
1999/7/6,2330.73,-0.73,4.7083,0.018684,-1.46,-2.19,-1.4825,-2.2309,2090.813432,20937.86806,97734.01498,8555.71608,18778.39959
1999/7/7,2340.67,0.43,4.7079,0.018682,0.86,1.29,0.8375,1.2491,2099.803929,21117.93372,98994.78378,8627.374314,19012.96879
1999/7/8,2374.58,1.45,4.7075,0.018681,2.9,4.35,2.8775,4.3091,2130.251086,21730.3538,103301.0569,8875.631287,19832.26552
1999/7/9,2393.02,0.78,4.7071,0.018679,1.56,2.34,1.5376,2.2991,2146.867045,22069.34732,105718.3016,9012.098653,20288.23901
1999/7/12,2384.24,-0.37,4.706,0.018674,-0.74,-1.11,-0.7624,-1.1508,2138.923637,21906.03415,104544.8285,8943.386417,20054.75363
1999/7/13,2373.66,-0.44,4.7056,0.018673,-0.88,-1.32,-0.9024,-1.3608,2129.512373,21713.26105,103164.8367,8862.677469,19781.84092
1999/7/14,2417.05,1.83,4.7052,0.018671,3.66,5.49,3.6376,5.4492,2168.482449,22507.9664,108828.5863,9185.062565,20859.78608
1999/7/15,2429.27,0.51,4.7048,0.01867,1.02,1.53,0.9976,1.4892,2179.54171,22737.54766,110493.6636,9276.689097,21170.42336
1999/7/16,2459.48,1.24,4.7044,0.018668,2.48,3.72,2.4576,3.6792,2206.568027,23301.43884,114604.0279,9504.66946,21949.31946
1999/7/19,2424.62,-1.42,4.7033,0.018664,-2.84,-4.26,-2.8624,-4.3008,2175.234761,22639.67798,109721.8963,9232.6046,21005.31879
1999/7/20,2329.32,-3.93,4.7029,0.018662,-7.86,-11.79,-7.8824,-11.8308,2089.748035,20860.19929,96785.68475,8504.850806,18520.21803
1999/7/21,2363.63,1.47,4.7025,0.018661,2.94,4.41,2.9176,4.3692,2120.467331,21473.48915,101053.9334,8752.985727,19329.40087
1999/7/22,2281.92,-3.46,4.7021,0.018659,-6.92,-10.38,-6.9424,-10.4208,2047.099161,19987.5237,90564.53515,8145.315898,17315.12061
1999/7/23,2302.02,0.88,4.7018,0.018658,1.76,2.64,1.7376,2.5992,2065.113634,20339.30412,92955.43888,8286.846659,17765.17392
1999/7/26,2233.51,-2.98,4.7006,0.018653,-5.96,-8.94,-5.9824,-8.9808,2003.573248,19127.08159,84645.22264,7791.092437,16169.71945
1999/7/27,2308.78,3.37,4.7002,0.018652,6.74,10.11,6.7176,10.0692,2071.093666,20416.24689,93202.85465,8314.465187,17797.88159
1999/7/28,2333.78,1.08,4.6998,0.01865,2.16,3.24,2.1376,3.1992,2093.461478,20857.23782,96222.62714,8492.193533,18367.27278
1999/7/29,2263.06,-3.03,4.6995,0.018649,-6.06,-9.09,-6.0824,-9.1308,2030.029595,19593.28921,87475.99034,7975.662786,16690.1958
1999/7/30,2270.93,0.35,4.6991,0.018647,0.7,1.05,0.6776,1.0092,2037.134698,19730.44224,88394.48823,8029.704526,16858.63555
1999/8/2,2264.81,-0.27,4.6979,0.018643,-0.54,-0.81,-0.5624,-0.8508,2031.634435,19623.89785,87678.49288,7984.544474,16715.20614
1999/8/3,2239.18,-1.13,4.6975,0.018641,-2.26,-3.39,-2.2824,-3.4308,2008.676966,19180.39776,84706.19197,7802.304365,16141.74518
1999/8/4,2204.33,-1.56,4.6972,0.018639,-3.12,-4.68,-3.1424,-4.7208,1977.341605,18581.96935,80741.94219,7557.124025,15379.73035
1999/8/5,2232.23,1.27,4.6968,0.018638,2.54,3.81,2.5176,3.7692,2002.453843,19053.95137,83818.21018,7747.381589,15959.42807
1999/8/6,2212.15,-0.9,4.6964,0.018636,-1.8,-2.7,-1.8224,-2.7408,1984.431759,18710.98024,81555.11851,7606.19282,15522.01766
1999/8/9,2187.61,-1.11,4.6952,0.018632,-2.22,-3.33,-2.2424,-3.3708,1962.404566,18295.59648,78839.33306,7435.631422,14998.80834
1999/8/10,2163.77,-1.09,4.6948,0.01863,-2.18,-3.27,-2.2024,-3.3108,1941.014356,17896.75248,76261.28687,7271.869061,14502.23488
1999/8/11,2241.8,3.61,4.6945,0.018629,7.22,10.83,7.1976,10.7893,2011.084975,19188.89801,84520.38424,7795.269205,16066.9173
1999/8/12,2214.33,-1.23,4.6941,0.018627,-2.46,-3.69,-2.4824,-3.7307,1986.348629,18716.85112,81401.58206,7601.759664,15467.50131
1999/8/13,2307.06,4.19,4.6937,0.018626,8.38,12.57,8.3576,12.5293,2069.576637,20285.32324,91633.76093,8237.084662,17405.4642
1999/8/16,2313.08,0.26,4.6925,0.018621,0.52,0.78,0.4976,0.7393,2074.957536,20390.80692,92348.50426,8278.073131,17534.13679
1999/8/17,2337.37,1.05,4.6922,0.01862,2.1,3.15,2.0776,3.1093,2096.74459,20819.01387,95257.48215,8450.059245,18079.32019
1999/8/18,2317.39,-0.85,4.6918,0.018618,-1.7,-2.55,-1.7224,-2.5907,2078.922261,20465.09063,92828.41635,8304.516437,17610.93411
1999/8/19,2278.79,-1.67,4.6914,0.018617,-3.34,-5.01,-3.3624,-5.0507,2044.20426,19781.5566,88177.71269,8025.286497,16721.45419
1999/8/20,2315.07,1.59,4.691,0.018615,3.18,4.77,3.1576,4.7293,2076.707107,20410.6101,92383.78959,8278.694149,17512.25819
1999/8/23,2385.87,3.06,4.6899,0.018611,6.12,9.18,6.0976,9.1393,2140.254345,21659.73944,100864.6215,8783.497426,19112.75369
1999/8/24,2404.82,0.79,4.6895,0.018609,1.58,2.37,1.5576,2.3293,2157.162354,22001.96332,103255.113,8920.311036,19557.94512
1999/8/25,2460.92,2.33,4.6891,0.018608,4.66,6.99,4.6376,6.9493,2207.424237,23027.25482,110472.6454,9334.0014,20917.08401
1999/8/26,2417.3,-1.77,4.6887,0.018606,-3.54,-5.31,-3.5624,-5.3507,2168.352828,22212.08999,104606.5479,9001.489189,19797.87274
1999/8/27,2402.57,-0.61,4.6883,0.018604,-1.22,-1.83,-1.2424,-1.8707,2155.125876,21941.1025,102692.2481,8889.656999,19427.51374
1999/8/30,2366.88,-1.49,4.6872,0.0186,-2.98,-4.47,-3.0024,-4.5107,2123.0145,21287.25764,98101.90461,8622.756626,18551.19845
1999/8/31,2396.87,1.27,4.6868,0.018598,2.54,3.81,2.5176,3.7693,2149.976784,21827.95399,101839.5872,8839.845886,19250.45084
1999/9/1,2404.94,0.34,4.6864,0.018597,0.68,1.02,0.6576,0.9793,2157.286705,21976.38407,102878.351,8897.979655,19438.97324
1999/9/2,2392.6,-0.51,4.686,0.018595,-1.02,-1.53,-1.0424,-1.5707,2146.284543,21752.22496,101304.3122,8805.230213,19133.64864
1999/9/3,2506.69,4.77,4.6856,0.018594,9.54,14.31,9.5176,14.2693,2248.662316,23827.38722,115800.9593,9643.280003,21863.89025
1999/9/7,2491.82,-0.59,4.6841,0.018588,-1.18,-1.77,-1.2024,-1.8107,2235.395208,23546.22405,113751.2823,9527.333295,21468.00788
1999/9/8,2454.67,-1.49,4.6837,0.018586,-2.98,-4.47,-3.0024,-4.5107,2202.08782,22844.54657,108666.6,9241.288827,20499.65808
1999/9/9,2505.5,2.07,4.6833,0.018585,4.14,6.21,4.1176,6.1693,2247.671038,23790.3108,115414.7958,9621.812337,21764.35138
1999/9/10,2534.61,1.16,4.683,0.018583,2.32,3.48,2.2976,3.4393,2273.744022,24342.24601,119431.2307,9842.887619,22512.90177
1999/9/13,2483.1,-2.03,4.6818,0.018579,-4.06,-6.09,-4.0823,-6.1306,2227.587018,23353.95082,112157.8688,9441.066649,21132.71473
1999/9/14,2522.46,1.59,4.6814,0.018577,3.18,4.77,3.1577,4.7294,2263.005652,24096.60646,117507.7991,9739.182781,22132.15557
1999/9/15,2463.09,-2.35,4.681,0.018576,-4.7,-7.05,-4.7223,-7.0906,2209.825019,22964.06595,109223.4993,9279.26493,20562.84339
1999/9/16,2466.88,0.15,4.6807,0.018574,0.3,0.45,0.2777,0.4094,2213.139756,23032.95815,109715.005,9305.029377,20647.01941
1999/9/17,2536.91,2.84,4.6803,0.018573,5.68,8.52,5.6577,8.4794,2275.992925,24341.23018,119062.7235,9831.476083,22397.75512
1999/9/20,2545.41,0.34,4.6791,0.018568,0.68,1.02,0.6577,0.9794,2283.731301,24506.75054,120277.1632,9896.133986,22617.11247
1999/9/21,2473.74,-2.82,4.6787,0.018566,-5.64,-8.46,-5.6623,-8.5006,2219.330079,23124.56981,110101.7152,9335.781602,20694.51657
1999/9/22,2513.94,1.63,4.6784,0.018565,3.26,4.89,3.2377,4.8494,2255.505159,23878.43079,115485.6891,9638.042959,21698.07193
1999/9/23,2403.07,-4.41,4.678,0.018563,-8.82,-13.23,-8.8423,-13.2706,2156.037381,21772.35319,100206.9324,8785.815084,18818.60351
1999/9/24,2399.58,-0.15,4.6776,0.018562,-0.3,-0.45,-0.3223,-0.4906,2152.803325,21707.03613,99756.00123,8757.495617,18726.27647
1999/9/27,2426.51,1.12,4.6764,0.018557,2.24,3.36,2.2177,3.3194,2176.914723,22193.27374,103107.8029,8951.708221,19347.87525
1999/9/28,2428.11,0.07,4.6761,0.018556,0.14,0.21,0.1177,0.1694,2178.438563,22224.34432,103324.3293,8962.242089,19380.64985
1999/9/29,2398.78,-1.21,4.6757,0.018554,-2.42,-3.63,-2.4423,-3.6706,2152.079456,21686.51519,99573.65611,8743.355091,18669.26361
1999/9/30,2407.9,0.38,4.6753,0.018553,0.76,1.14,0.7377,1.0994,2160.257358,21851.33271,100708.7958,8807.852848,18874.51395
1999/10/1,2404.45,-0.14,4.6749,0.018551,-0.28,-0.42,-0.3023,-0.4606,2157.232998,21790.14897,100285.8188,8781.224855,18787.57898
1999/10/4,2467.92,2.64,4.6738,0.018547,5.28,7.92,5.2577,7.8794,2214.183949,22940.66884,108228.4557,9242.913867,20267.93024
1999/10/5,2471.5,0.15,4.6734,0.018545,0.3,0.45,0.2777,0.4094,2217.505225,23009.49085,108715.4838,9268.580056,20350.91073
1999/10/6,2532.4,2.46,4.673,0.018544,4.92,7.38,4.8977,7.3394,2272.055853,24141.5578,116738.6865,9722.526056,21844.54969
1999/10/7,2532,-0.02,4.6726,0.018542,-0.04,-0.06,-0.0623,-0.1006,2271.601442,24131.90117,116668.6432,9716.467764,21822.57927
1999/10/8,2555.36,0.92,4.6722,0.018541,1.84,2.76,1.8177,2.7194,2292.500176,24575.92816,119888.6978,9893.082988,22416.02835
1999/10/11,2578.88,0.92,4.6711,0.018536,1.84,2.76,1.8177,2.7194,2313.591177,25028.12523,123197.6259,10072.90898,23025.61789
1999/10/12,2526.82,-2.02,4.6707,0.018534,-4.04,-6.06,-4.0623,-6.1006,2266.856635,24016.98897,115731.8497,9663.716766,21620.92602
1999/10/13,2454.49,-2.86,4.6703,0.018533,-5.72,-8.58,-5.7423,-8.6206,2202.024536,22643.2172,105802.057,9108.796889,19757.08157
1999/10/14,2470.99,0.67,4.6699,0.018531,1.34,2.01,1.3177,1.9694,2216.7781,22946.63631,107928.6784,9228.823391,20146.18644
1999/10/15,2403.81,-2.72,4.6695,0.01853,-5.44,-8.16,-5.4623,-8.2006,2156.481736,21698.3393,99121.69821,8724.717395,18494.08797
1999/10/18,2362.11,-1.73,4.6684,0.018525,-3.46,-5.19,-3.4823,-5.2305,2119.174602,20947.57676,93977.28207,8420.896982,17526.7468
1999/10/19,2362.25,0.01,4.668,0.018524,0.02,0.03,-0.0023,-0.0105,2119.386519,20951.76628,94005.47526,8420.703836,17524.89954
1999/10/20,2466.29,4.4,4.6676,0.018522,8.8,13.2,8.7777,13.1595,2212.639526,22795.52171,106414.198,9159.84862,19831.08227
1999/10/21,2477.14,0.44,4.6672,0.018521,0.88,1.32,0.8577,1.2795,2222.37514,22996.1223,107818.8654,9238.413502,20084.81431
1999/10/22,2485.9,0.35,4.6668,0.018519,0.7,1.05,0.6777,1.0095,2230.153453,23157.09515,108950.9635,9301.023238,20287.56437
1999/10/25,2484.19,-0.07,4.6657,0.018515,-0.14,-0.21,-0.1623,-0.2505,2228.592345,23124.67522,108722.1665,9285.929118,20236.73968
1999/10/26,2466.4,-0.72,4.6653,0.018513,-1.44,-2.16,-1.4623,-2.2005,2212.546481,22791.6799,106373.7677,9150.142555,19791.4265
1999/10/27,2457.46,-0.36,4.6649,0.018512,-0.72,-1.08,-0.7423,-1.1205,2204.581313,22627.5798,105224.931,9082.222742,19569.66053
1999/10/28,2539.93,3.36,4.6645,0.01851,6.72,10.08,6.6977,10.0395,2278.655245,24148.15317,115831.604,9690.524595,21534.3542
1999/10/29,2637.44,3.84,4.6642,0.018509,7.68,11.52,7.6577,11.4795,2366.155607,26002.73133,129175.4048,10432.59799,24006.3884
1999/11/1,2616.36,-0.8,4.663,0.018504,-1.6,-2.4,-1.6223,-2.4405,2347.226362,25586.68763,126075.1951,10263.35268,23420.51247
1999/11/2,2626.99,0.41,4.6626,0.018503,0.82,1.23,0.7977,1.1895,2356.84999,25796.49847,127625.92,10345.22628,23699.10015
1999/11/3,2672.72,1.74,4.6622,0.018501,3.48,5.22,3.4577,5.1795,2397.85918,26694.21661,134287.993,10702.93619,24926.59646
1999/11/4,2703.11,1.14,4.6619,0.018499,2.28,3.42,2.2577,3.3795,2425.194775,27302.84475,138880.6424,10944.57966,25768.99303
1999/11/5,2755.7,1.95,4.6615,0.018498,3.9,5.85,3.8777,5.8095,2472.486073,28367.6557,147005.16,11368.98116,27266.04579
1999/11/8,2786.27,1.11,4.6603,0.018493,2.22,3.33,2.1977,3.2895,2499.930668,28997.41765,151900.4318,11618.84144,28162.96815
1999/11/9,2763.58,-0.81,4.6599,0.018492,-1.62,-2.43,-1.6423,-2.4705,2479.68123,28527.65949,148209.2513,11428.02966,27467.20885
1999/11/10,2797.61,1.23,4.6596,0.01849,2.46,3.69,2.4377,3.6495,2510.181309,29229.43991,153678.1727,11706.61529,28469.63213
1999/11/11,2849.81,1.87,4.6592,0.018489,3.74,5.61,3.7177,5.5695,2557.121699,30322.62096,162299.5182,12141.83697,30055.25693
1999/11/12,2888.91,1.37,4.6588,0.018487,2.74,4.11,2.7177,4.0695,2592.154266,31153.46078,168970.0283,12471.82088,31278.36564
1999/11/15,2875.87,-0.45,4.6576,0.018483,-0.9,-1.35,-0.9223,-1.3905,2580.489572,30873.07963,166688.933,12356.79919,30843.45326
1999/11/16,2940.25,2.24,4.6573,0.018481,4.48,6.72,4.4577,6.6795,2638.292539,32256.1936,177890.4293,12907.63428,32903.65578
1999/11/17,2911.69,-0.97,4.6569,0.01848,-1.94,-2.91,-1.9622,-2.9505,2612.701101,31630.42344,172713.8178,12654.35429,31932.8494
1999/11/18,3003.49,3.15,4.6565,0.018478,6.3,9.45,6.2778,9.4096,2695.001186,33623.14012,189035.2735,13448.76327,34937.58736
1999/11/19,3028.84,0.84,4.6561,0.018477,1.68,2.52,1.6578,2.4796,2717.639196,34188.00887,193798.9624,13671.71062,35803.88394
1999/11/22,3049.61,0.69,4.655,0.018472,1.38,2.07,1.3578,2.0296,2736.390906,34659.8034,197810.601,13857.33937,36530.54662
1999/11/23,2999.78,-1.63,4.6546,0.018471,-3.26,-4.89,-3.2822,-4.9304,2691.787734,33529.8938,188137.6626,13402.50819,34729.43244
1999/11/24,3108.52,3.62,4.6542,0.018469,7.24,10.86,7.2178,10.8196,2789.23045,35957.45812,208569.4127,14369.86921,38487.00766
1999/11/26,3116.62,0.26,4.6534,0.018466,0.52,0.78,0.4978,0.7396,2796.48245,36144.4369,210196.2542,14441.39728,38771.64833
1999/11/29,3063.23,-1.71,4.6523,0.018461,-3.42,-5.13,-3.4422,-5.1704,2748.6626,34908.29716,199413.1863,13944.29099,36766.99326
1999/11/30,2966.71,-3.15,4.6519,0.01846,-6.3,-9.45,-6.3222,-9.4904,2662.079728,32709.07444,180568.6402,13062.70088,33277.65418
1999/12/1,2997.28,1.03,4.6515,0.018458,2.06,3.09,2.0378,3.0496,2689.499149,33382.88137,186148.2112,13328.88891,34292.4866
1999/12/2,3108.47,3.71,4.6511,0.018457,7.42,11.13,7.3978,11.0896,2789.279567,35859.89117,206866.5071,14314.9299,38095.38423
1999/12/3,3172.37,2.06,4.6507,0.018455,4.12,6.18,4.0978,6.1396,2846.738727,37337.31868,219650.8572,14901.5235,40434.28741
1999/12/6,3191.09,0.59,4.6496,0.018451,1.18,1.77,1.1578,1.7296,2863.534485,37777.89904,223538.6774,15074.05027,41133.64145
1999/12/7,3205.08,0.44,4.6492,0.018449,0.88,1.32,0.8578,1.2796,2876.134037,38110.34455,226489.3879,15203.3526,41659.99142
1999/12/8,3164.08,-1.28,4.6488,0.018448,-2.56,-3.84,-2.5822,-3.8804,2839.319521,37134.71973,217792.1954,14810.76896,40043.42233
1999/12/9,3167.52,0.11,4.6484,0.018446,0.22,0.33,0.1978,0.2896,2842.442773,37216.41612,218510.9097,14840.06229,40159.39432
1999/12/10,3203.28,1.13,4.6481,0.018445,2.26,3.39,2.2378,3.3496,2874.562376,38057.50712,225918.4295,15172.15105,41504.58086
1999/12/13,3242.37,1.22,4.6469,0.01844,2.44,3.66,2.4178,3.6196,2909.632037,38986.1103,234187.0441,15538.98181,43006.89219
1999/12/14,3167.29,-2.32,4.6465,0.018439,-4.64,-6.96,-4.6622,-7.0004,2842.128574,37177.15478,217887.6258,14814.52209,39996.25095
1999/12/15,3239.18,2.27,4.6461,0.018437,4.54,6.81,4.5178,6.7696,2906.644892,38864.9976,232725.7731,15483.81155,42703.85069
1999/12/16,3332.31,2.88,4.6458,0.018436,5.76,8.64,5.7378,8.5996,2990.356265,41103.62147,252833.2799,16372.24085,46376.22678
